
2023-10-18 09:38:34.508813 Cannot insert the value NULL into column 'VATIncluded', table 'InfinityPOS.dbo.psSales'; column does not allow nulls. INSERT fails.
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '3560070712663', 'Qty': '1.000', 'ItemDueAmount': 19600}, {'Barcode': '8654000105887', 'Qty': '1.000', 'ItemDueAmount': 7550}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8934609202010', 'Qty': '2.000', 'ItemDueAmount': 6560}, {'Barcode': '8654001350071', 'Qty': '1.000', 'ItemDueAmount': 2200}, {'Barcode': '4655299898409', 'Qty': '1.000', 'ItemDueAmount': 4360}, {'Barcode': '8656020783083', 'Qty': '1.000', 'ItemDueAmount': 5920}, {'Barcode': '8656020764358', 'Qty': '1.000', 'ItemDueAmount': 4500}, {'Barcode': '8656021011604', 'Qty': '1.000', 'ItemDueAmount': 8300}], 'SalePayments': [{'PaymentTypeID': 'Khan Bank', 'PaymentAmount': 59210}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000076', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416873;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8934988024012', 'Qty': '1.000', 'ItemDueAmount': 4930}, {'Barcode': '8656020816095', 'Qty': '1.000', 'ItemDueAmount': 1790}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 6720}], 'TerminalID': '3403', 'CashierEmpCode': '194', 'DDTDNo': '000002057441034231018003403000086', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416878;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656020681419', 'Qty': '2.000', 'ItemDueAmount': 4000}, {'Barcode': '8656170005202', 'Qty': '12.000', 'ItemDueAmount': 12600}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 16600}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000095', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416887;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2300830000002', 'Qty': '2.000', 'ItemDueAmount': 3600}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 3600}], 'TerminalID': '3417', 'CashierEmpCode': '200', 'DDTDNo': '000002057441034231018003417000096', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416888;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8656488103171', 'Qty': '40.000', 'ItemDueAmount': 35200}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 35200}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000091', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416883;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2331322301', 'Qty': '2.000', 'ItemDueAmount': 920}], 'SalePayments': [{'PaymentTypeID': 'Cash', 'PaymentAmount': 920}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000105', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416895;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2332170000008', 'Qty': '2.000', 'ItemDueAmount': 1960}, {'Barcode': '2332410000003', 'Qty': '1.000', 'ItemDueAmount': 3600}, {'Barcode': '8656900090188', 'Qty': '1.000', 'ItemDueAmount': 1880}, {'Barcode': '4603014001016', 'Qty': '1.000', 'ItemDueAmount': 15010}, {'Barcode': '2325760000007', 'Qty': '0.886', 'ItemDueAmount': 5298}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '3560070138296', 'Qty': '1.000', 'ItemDueAmount': 10300}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 38268}], 'TerminalID': '3404', 'CashierEmpCode': '196', 'DDTDNo': '000002057441034231018003404000089', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416881;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '3616474503397', 'Qty': '1.000', 'ItemDueAmount': 44300}, {'Barcode': '5900500035258', 'Qty': '1.000', 'ItemDueAmount': 7500}, {'Barcode': '3270190126744', 'Qty': '1.000', 'ItemDueAmount': 18900}, {'Barcode': '2332180000005', 'Qty': '2.000', 'ItemDueAmount': 2960}, {'Barcode': '2332190000002', 'Qty': '2.000', 'ItemDueAmount': 3160}, {'Barcode': '2330270000003', 'Qty': '2.000', 'ItemDueAmount': 3780}, {'Barcode': '2332380000003', 'Qty': '1.000', 'ItemDueAmount': 3600}, {'Barcode': '2332400000006', 'Qty': '2.000', 'ItemDueAmount': 7200}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '6842456781218', 'Qty': '1.000', 'ItemDueAmount': 5660}, {'Barcode': '8894590740133', 'Qty': '1.000', 'ItemDueAmount': 15750}], 'SalePayments': [{'PaymentTypeID': 'Khan Bank', 'PaymentAmount': 113030}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000093', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416885;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2323310000002', 'Qty': '0.322', 'ItemDueAmount': 12880}, {'Barcode': '2322930000003', 'Qty': '0.142', 'ItemDueAmount': 6390}, {'Barcode': '8656020764358', 'Qty': '2.000', 'ItemDueAmount': 9000}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}, {'Barcode': '8656002858174', 'Qty': '1.000', 'ItemDueAmount': 9880}, {'Barcode': '2325780000001', 'Qty': '1.326', 'ItemDueAmount': 7929}, {'Barcode': '2324570000009', 'Qty': '1.064', 'ItemDueAmount': 13726}, {'Barcode': '2325780000001', 'Qty': '1.336', 'ItemDueAmount': 7989}, {'Barcode': '2360050000008', 'Qty': '0.488', 'ItemDueAmount': 9272}], 'SalePayments': [{'PaymentTypeID': 'Golomt Bank', 'PaymentAmount': 77286}], 'TerminalID': '3405', 'CashierEmpCode': '221', 'DDTDNo': '000002057441034231018003405000108', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416896;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '2323130000008', 'Qty': '0.250', 'ItemDueAmount': 9000}, {'Barcode': '3161712996146', 'Qty': '1.000', 'ItemDueAmount': 16200}, {'Barcode': '7622201123079', 'Qty': '1.000', 'ItemDueAmount': 8950}, {'Barcode': '2332370000006', 'Qty': '1.000', 'ItemDueAmount': 3500}, {'Barcode': '2332320000001', 'Qty': '1.000', 'ItemDueAmount': 3900}, {'Barcode': '8656021071011', 'Qty': '1.000', 'ItemDueAmount': 4510}], 'SalePayments': [{'PaymentTypeID': 'Khan Bank', 'PaymentAmount': 46060}], 'TerminalID': '3403', 'CashierEmpCode': '194', 'DDTDNo': '000002057441034231018003403000085', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416877;cashiername: Dulamsuren
2023-10-18 10:08:14.795721 {'Sales': [{'SaleItems': [{'Barcode': '8719987981326', 'Qty': '1.000', 'ItemDueAmount': 9000}, {'Barcode': '2086500310021', 'Qty': '1.000', 'ItemDueAmount': 220}], 'SalePayments': [{'PaymentTypeID': 'QPay', 'PaymentAmount': 9220}], 'TerminalID': '3403', 'CashierEmpCode': '194', 'DDTDNo': '000002057441034231018003403000070', 'TxnType': 'IN', 'SiteId': '08'}], 'token': 'R/CttOjflqG55XHt9zr3FdX8kjbKlbkQt002zNgsdSs='};order_id: 416871;cashiername: Dulamsuren
